Date,Open,High,Low,Close,Volume,HV_20,HV_252,snapshot_time,snapshot_str,ticker
2025-01-29,232.85,238.56,232.74,238.06,45486100,0.308,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-30,237.37,239.48,235.92,236.3,55658300,0.3061,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-31,245.85,245.85,232.17,234.72,100959800,0.3061,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-03,228.74,230.57,224.47,226.77,73063300,0.3153,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-04,226.02,231.86,225.42,231.54,45067300,0.3267,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-05,227.29,231.41,227.03,231.21,39620300,0.325,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-06,230.03,232.53,229.18,231.95,29925300,0.3239,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-07,231.34,232.73,226.03,226.39,39707200,0.333,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-10,228.57,229.59,226.21,226.66,33115600,0.3237,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-11,227.21,234.21,227.14,231.61,53718400,0.3324,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-12,230.2,235.93,229.68,235.84,45243300,0.3382,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-13,235.88,241.29,234.55,240.48,53614100,0.3382,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-14,240.2,244.48,239.94,243.54,40896200,0.3014,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-18,243.09,244.12,240.79,243.41,48822500,0.3013,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-19,243.6,244.94,242.1,243.81,32204200,0.2707,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-20,243.88,245.71,243.23,244.76,32316900,0.2708,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-21,244.88,247.61,244.16,244.48,53197400,0.2709,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-24,243.87,247.78,243.36,246.03,51326400,0.2689,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-25,246.92,248.92,243.85,245.97,48013300,0.2511,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-26,243.27,243.92,238.09,239.32,44433600,0.2438,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-27,238.37,241.41,236.03,236.27,41153600,0.2477,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-02-28,235.92,241.04,229.2,240.79,56833400,0.2553,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-03,240.74,242.97,235.09,237.0,47184000,0.261,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-04,236.68,239.03,233.66,234.91,53798100,0.2295,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-05,234.4,235.52,228.24,234.72,47227600,0.2183,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-06,233.42,236.83,232.15,234.31,45170400,0.2183,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-07,234.09,240.32,233.74,238.03,46273600,0.2247,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-10,234.52,235.14,223.25,226.49,72071200,0.2755,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-11,222.84,224.86,216.51,219.88,76137400,0.2948,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-12,219.18,220.79,213.98,216.04,62547500,0.2868,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-13,215.01,215.9,207.52,208.77,61368300,0.2946,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-14,210.33,213.02,208.67,212.56,60107600,0.2929,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-17,212.38,214.29,209.06,213.07,48073400,0.2864,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-18,213.23,214.22,210.57,211.77,42432400,0.2855,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-19,213.29,217.81,212.82,214.31,54385400,0.2918,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-20,213.06,216.55,211.3,213.17,48862900,0.2893,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-21,210.64,217.89,210.36,217.32,94127800,0.3035,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-24,220.04,220.52,217.63,219.77,44299500,0.3066,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-03-25,219.81,223.13,219.12,222.78,34493600,0.3136,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
