contractSymbol,expiry,option_type,strike,bid,ask,lastPrice,volume,openInterest,impliedVolatility,delta,gamma,theta,vega,inTheMoney,snapshot_time,snapshot_str,ticker
AAPL260429P00247500,2026-04-29,put,247.5,0.0,0.02,0.01,133.0,351,0.64062859375,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00250000,2026-04-29,put,250.0,0.01,0.02,0.01,629.0,601,0.6015664843750002,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00252500,2026-04-29,put,252.5,0.01,0.02,0.02,211.0,411,0.5312546875,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00255000,2026-04-29,put,255.0,0.02,0.03,0.03,1432.0,1664,0.507817421875,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00257500,2026-04-29,put,257.5,0.02,0.03,0.02,990.0,3471,0.437505625,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00260000,2026-04-29,put,260.0,0.04,0.05,0.05,2395.0,2616,0.39063109375,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00262500,2026-04-29,put,262.5,0.09,0.1,0.1,15422.0,2902,0.3544986425781249,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00265000,2026-04-29,put,265.0,0.21,0.23,0.22,13416.0,6323,0.32520206054687495,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00267500,2026-04-29,put,267.5,0.52,0.56,0.53,11616.0,2195,0.30371790039062496,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00270000,2026-04-29,put,270.0,1.24,1.29,1.27,22096.0,2026,0.28711650390624993,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00272500,2026-04-29,put,272.5,2.53,2.69,2.55,5025.0,595,0.28955788574218744,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00275000,2026-04-29,put,275.0,4.4,4.8,5.3,2678.0,617,0.34180345703125,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00277500,2026-04-29,put,277.5,6.3,8.0,7.37,440.0,87,0.6362341064453125,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00280000,2026-04-29,put,280.0,8.1,10.45,10.03,59.0,33,0.7480493945312501,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00282500,2026-04-29,put,282.5,10.6,13.7,12.45,3.0,10,0.6044961425781252,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00285000,2026-04-29,put,285.0,13.5,16.25,15.0,4.0,3,0.789064609375,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00287500,2026-04-29,put,287.5,15.15,18.85,17.0,46.0,0,0.6972686523437501,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00290000,2026-04-29,put,290.0,17.8,21.15,19.0,1.0,1,0.7568383691406251,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00295000,2026-04-29,put,295.0,23.05,26.25,23.0,,0,1.0302782861328126,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00300000,2026-04-29,put,300.0,27.95,31.3,29.8,5.0,8,1.1689494677734376,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429P00310000,2026-04-29,put,310.0,38.0,41.25,43.8,2.0,0,1.4580105224609374,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00110000,2026-05-01,call,110.0,158.8,162.35,160.32,2.0,10,5.851565185546875,0.9892,0.0002,-0.8521,0.0057,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00120000,2026-05-01,call,120.0,148.8,152.25,147.11,1.0,3,5.275394030761718,0.9887,0.0003,-0.8009,0.006,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00145000,2026-05-01,call,145.0,124.2,127.05,124.76,71.0,69,4.066411166992188,0.987,0.0004,-0.7024,0.0067,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00150000,2026-05-01,call,150.0,119.5,122.05,120.02,7.0,1,2.50000375,0.9995,0.0,-0.0432,0.0004,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00175000,2026-05-01,call,175.0,94.25,96.9,94.46,108.0,1,2.9209011352539065,0.9833,0.0007,-0.6311,0.0083,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00180000,2026-05-01,call,180.0,89.5,92.25,90.55,107.0,1,1.994140654296875,0.9977,0.0002,-0.0952,0.0014,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00185000,2026-05-01,call,185.0,83.9,87.3,85.72,1.0,1,2.7744171264648436,0.9749,0.0011,-0.8403,0.0118,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00190000,2026-05-01,call,190.0,79.45,82.0,81.15,11.0,12,1.3437532812499997,0.9998,0.0,-0.03,0.0001,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00195000,2026-05-01,call,195.0,73.85,77.3,63.92,1.0,1,2.457523387451172,0.971,0.0013,-0.8399,0.0133,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00200000,2026-05-01,call,200.0,68.85,72.25,69.62,14.0,42,2.286137097167969,0.9696,0.0015,-0.8138,0.0138,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00205000,2026-05-01,call,205.0,63.85,67.35,60.0,5.0,7,2.1684616101074217,0.9652,0.0018,-0.8628,0.0154,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
